City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
59,Micheweni,TZ,-4.9667,39.8333,80.92,82,54,10.8,light rain,2023-01-07 19:40:17
60,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,21.85,broken clouds,2023-01-07 19:30:35
61,Cape Town,ZA,-33.9258,18.4232,71.38,75,0,16.11,clear sky,2023-01-07 19:31:34
62,Dikson,RU,73.5069,80.5464,0.32,90,100,13.53,overcast clouds,2023-01-07 19:31:31
63,Mutoko,ZW,-17.397,32.2268,63.55,89,100,3.06,overcast clouds,2023-01-07 19:40:18
64,Vaini,TO,-21.2,-175.2,82.56,89,75,8.05,broken clouds,2023-01-07 19:30:21
65,Port-Gentil,GA,-0.7193,8.7815,78.76,89,40,4.61,scattered clouds,2023-01-07 19:40:18
66,Bethel,US,41.3712,-73.414,44.02,69,100,5.01,overcast clouds,2023-01-07 19:31:22
67,Lompoc,US,34.6391,-120.4579,64.53,69,0,11.01,clear sky,2023-01-07 19:31:21
68,Klaksvik,FO,62.2266,-6.589,36.52,81,61,10.36,broken clouds,2023-01-07 19:30:19
69,Butaritari,KI,3.0707,172.7902,80.56,78,32,14.61,scattered clouds,2023-01-07 19:30:37
70,Georgetown,MY,5.4112,100.3354,78.73,83,20,5.75,few clouds,2023-01-07 19:40:19
71,Lavrentiya,RU,65.5833,-171.0,-5.58,98,69,4.23,broken clouds,2023-01-07 19:33:06
72,Adrar,MR,20.5022,-10.0711,68.07,16,100,10.92,overcast clouds,2023-01-07 19:31:38
73,Hambantota,LK,6.1241,81.1185,75.88,81,72,13.56,broken clouds,2023-01-07 19:40:20
74,Souillac,MU,-20.5167,57.5167,79.18,78,40,6.91,scattered clouds,2023-01-07 19:32:20
75,Riyadh,SA,24.6877,46.7219,55.54,71,98,3.94,overcast clouds,2023-01-07 19:34:16
76,Kununurra,AU,-15.7667,128.7333,78.78,89,75,5.75,broken clouds,2023-01-07 19:33:22
77,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,94,100,13.22,overcast clouds,2023-01-07 19:32:16
78,Poum,NC,-20.2333,164.0167,82.6,85,100,28.34,heavy intensity rain,2023-01-07 19:40:21
79,Manta,EC,-0.95,-80.7333,80.38,74,75,6.91,broken clouds,2023-01-07 19:39:40
80,Southbridge,US,42.0751,-72.0334,42.06,85,100,3.0,overcast clouds,2023-01-07 19:40:22
81,Mazagao,BR,-0.115,-51.2894,89.65,58,92,5.77,overcast clouds,2023-01-07 19:40:22
82,Aljezur,PT,37.3191,-8.8033,61.29,91,100,14.61,overcast clouds,2023-01-07 19:40:22
83,Kodiak,US,57.79,-152.4072,29.71,80,0,13.8,clear sky,2023-01-07 19:31:42
84,El Paso,US,31.8001,-106.2005,55.65,33,75,11.5,broken clouds,2023-01-07 19:40:23
85,Upernavik,GL,72.7868,-56.1549,-14.93,89,34,9.6,scattered clouds,2023-01-07 19:40:24
86,Geraldton,AU,-28.7667,114.6,64.81,82,0,11.5,clear sky,2023-01-07 19:33:20
87,Puri,IN,19.8,85.85,55.92,48,0,7.14,clear sky,2023-01-07 19:36:53
88,Yellowknife,CA,62.456,-114.3525,9.12,92,100,3.44,light snow,2023-01-07 19:30:59
89,Saskylakh,RU,71.9167,114.0833,-35.16,99,99,3.11,overcast clouds,2023-01-07 19:32:25
90,Neiafu,TO,-18.65,-173.9833,77.68,94,20,0.0,few clouds,2023-01-07 19:32:47
91,Saldanha,ZA,-33.0117,17.9442,64.45,91,0,15.39,clear sky,2023-01-07 19:31:30
92,Sur,OM,22.5667,59.5289,69.08,69,0,4.21,clear sky,2023-01-07 19:31:47
93,Tiksi,RU,71.6872,128.8694,-39.39,100,78,3.33,broken clouds,2023-01-07 19:31:00
94,Mar Del Plata,AR,-38.0023,-57.5575,88.83,80,0,28.99,clear sky,2023-01-07 19:40:27
95,Pathein,MM,16.7833,94.7333,69.69,92,1,5.23,clear sky,2023-01-07 19:32:08
96,Millau,FR,44.0833,2.9167,51.01,86,85,8.21,overcast clouds,2023-01-07 19:40:27
97,Acarau,BR,-2.8856,-40.12,82.99,66,0,17.9,clear sky,2023-01-07 19:30:43
98,Ponta Do Sol,PT,32.6667,-17.1,67.01,81,67,6.26,broken clouds,2023-01-07 19:30:51
99,Bambanglipuro,ID,-7.95,110.2833,75.65,87,42,5.32,light rain,2023-01-07 19:40:28
100,Castro,BR,-24.7911,-50.0119,68.27,74,99,10.49,overcast clouds,2023-01-07 19:29:21
101,Muros,ES,42.7762,-9.0603,55.69,89,100,21.56,overcast clouds,2023-01-07 19:30:40
102,Tevaitoa,PF,-16.7833,-151.5,81.19,65,9,1.83,clear sky,2023-01-07 19:40:29
103,Ostrovnoy,RU,68.0531,39.5131,19.63,92,100,5.77,snow,2023-01-07 19:32:43
104,Chuy,UY,-33.6971,-53.4616,76.68,56,0,14.43,clear sky,2023-01-07 19:31:32
105,Tasiilaq,GL,65.6145,-37.6368,15.96,62,75,7.25,broken clouds,2023-01-07 19:40:30
106,Pevek,RU,69.7008,170.3133,-11.09,96,100,3.94,overcast clouds,2023-01-07 19:40:30
107,Ixtapa,MX,20.7,-105.2,76.23,65,0,8.05,clear sky,2023-01-07 19:40:31
108,Yuanping,CN,38.7153,112.7575,31.12,34,3,2.1,clear sky,2023-01-07 19:33:47
109,Sinnamary,GF,5.3833,-52.95,77.29,86,100,12.88,overcast clouds,2023-01-07 19:40:31
110,Gorodishche,RU,48.8045,44.4744,0.48,78,0,11.18,clear sky,2023-01-07 19:40:32
111,Sabang,ID,5.8933,95.3214,80.28,71,94,5.44,overcast clouds,2023-01-07 19:32:57
112,Pasni,PK,25.2631,63.471,70.09,63,0,5.1,clear sky,2023-01-07 19:40:33
113,Price,US,39.5994,-110.8107,31.26,80,75,0.0,broken clouds,2023-01-07 19:40:33
114,Kumluca,TR,36.3703,30.2869,55.36,68,3,5.28,clear sky,2023-01-07 19:40:34
115,Port Hardy,CA,50.6996,-127.4199,46.58,87,75,4.61,light intensity shower rain,2023-01-07 19:30:41
116,Bengkulu,ID,-3.8004,102.2655,74.79,89,100,6.4,overcast clouds,2023-01-07 19:32:19
117,Cabedelo,BR,-6.9811,-34.8339,84.87,74,100,11.56,overcast clouds,2023-01-07 19:40:35
118,Emerald,AU,-23.5333,148.1667,72.34,86,87,6.93,overcast clouds,2023-01-07 19:40:35
119,San Quintin,MX,30.4833,-115.95,64.87,49,4,3.24,clear sky,2023-01-07 19:40:36
120,Baruun-Urt,MN,46.6806,113.2792,5.56,84,6,5.39,clear sky,2023-01-07 19:31:09
121,Longyearbyen,SJ,78.2186,15.6401,28.24,64,75,3.44,broken clouds,2023-01-07 19:40:37
122,Saint-Philippe,RE,-21.3585,55.7679,78.39,81,38,11.59,scattered clouds,2023-01-07 19:30:58
123,Frontera,MX,26.9333,-101.45,73.33,54,0,4.0,clear sky,2023-01-07 19:40:37
124,General Roca,AR,-39.0333,-67.5833,102.61,11,35,15.95,scattered clouds,2023-01-07 19:40:38
125,Constitucion,CL,-35.3333,-72.4167,68.65,67,8,9.06,clear sky,2023-01-07 19:40:38
126,Stony Plain,CA,53.5334,-114.0021,29.52,64,12,1.01,few clouds,2023-01-07 19:40:05
127,North Platte,US,41.1239,-100.7654,34.12,80,40,6.91,scattered clouds,2023-01-07 19:40:39
128,Sitka,US,57.0531,-135.33,48.09,61,100,18.41,moderate rain,2023-01-07 19:31:33
129,Maragogi,BR,-9.0122,-35.2225,80.37,69,0,10.54,clear sky,2023-01-07 19:40:39
130,New Norfolk,AU,-42.7826,147.0587,55.92,71,0,2.68,clear sky,2023-01-07 19:30:57
131,Altar,MX,30.7,-111.8167,69.49,27,0,4.88,clear sky,2023-01-07 19:40:40
132,Ujszasz,HU,47.3,20.0833,42.19,99,60,5.59,broken clouds,2023-01-07 19:40:40
133,Vanimo,PG,-2.6741,141.3028,76.48,90,100,3.56,overcast clouds,2023-01-07 19:40:41
134,Salalah,OM,17.0151,54.0924,75.29,69,40,4.61,scattered clouds,2023-01-07 19:33:02
135,Naze,JP,28.3667,129.4833,56.32,63,0,12.39,clear sky,2023-01-07 19:40:42
136,Carnarvon,AU,-24.8667,113.6333,73.69,63,0,25.55,clear sky,2023-01-07 19:30:47
137,Touros,BR,-5.1989,-35.4608,80.71,72,75,13.98,broken clouds,2023-01-07 19:32:10
138,Esperance,AU,-33.8667,121.9,59.16,71,0,4.0,clear sky,2023-01-07 19:32:39
139,Ancud,CL,-41.8697,-73.8203,63.23,77,100,8.93,overcast clouds,2023-01-07 19:40:43
140,Kavieng,PG,-2.5744,150.7967,82.17,77,27,6.93,scattered clouds,2023-01-07 19:32:11
141,Airai,TL,-8.9266,125.4092,59.77,90,100,1.97,overcast clouds,2023-01-07 19:31:36
142,Aswan,EG,24.0934,32.907,63.7,39,0,5.75,clear sky,2023-01-07 19:27:49
143,Avarua,CK,-21.2078,-159.775,75.25,88,100,2.3,light rain,2023-01-07 19:40:45
144,Damme,DE,52.5167,8.2,48.22,77,100,5.99,overcast clouds,2023-01-07 19:40:45
145,Komsomolskiy,UZ,40.4272,71.7189,34.52,86,21,0.0,mist,2023-01-07 19:33:26
146,Imbituba,BR,-28.24,-48.6703,74.75,61,40,7.99,scattered clouds,2023-01-07 19:40:46
147,Jamestown,US,42.097,-79.2353,35.19,70,100,10.36,fog,2023-01-07 19:40:46
148,Hirara,JP,24.8,125.2833,65.12,62,95,15.1,overcast clouds,2023-01-07 19:40:46
149,Lujan,AR,-34.5703,-59.105,94.01,34,63,7.0,broken clouds,2023-01-07 19:40:47
150,Belaya Gora,RU,68.5333,146.4167,-35.32,98,100,2.28,overcast clouds,2023-01-07 19:40:47
151,Heihe,CN,50.2441,127.4902,-13.61,98,100,2.01,overcast clouds,2023-01-07 19:40:48
152,Itarema,BR,-2.9248,-39.9167,82.6,67,0,17.09,clear sky,2023-01-07 19:33:36
153,Thinadhoo,MV,0.5333,72.9333,80.11,80,98,12.57,overcast clouds,2023-01-07 19:40:48
154,Coihueco,CL,-36.6167,-71.8333,84.94,35,0,6.91,clear sky,2023-01-07 19:40:49
155,Fortuna,US,40.5982,-124.1573,54.66,84,75,27.63,broken clouds,2023-01-07 19:29:36
156,Beringovskiy,RU,63.05,179.3167,0.34,95,100,15.5,overcast clouds,2023-01-07 19:32:52
157,Kindu,CD,-2.95,25.95,69.19,98,100,2.26,light rain,2023-01-07 19:40:50
158,Maceio,BR,-9.6658,-35.7353,85.44,61,0,14.97,clear sky,2023-01-07 19:40:50
159,Menongue,AO,-14.6585,17.691,70.07,48,85,2.86,overcast clouds,2023-01-07 19:32:46
160,Vestmannaeyjar,IS,63.4427,-20.2734,32.04,74,99,6.64,overcast clouds,2023-01-07 19:32:20
161,Sioux Lookout,CA,50.1001,-91.917,15.87,92,20,10.36,few clouds,2023-01-07 19:40:51
162,Dingle,PH,10.9995,122.6711,72.97,87,99,9.37,overcast clouds,2023-01-07 19:31:05
163,Dauphin,CA,51.1494,-100.0502,26.74,74,0,20.71,clear sky,2023-01-07 19:40:51
164,Chupa,RU,66.27,33.0549,-3.86,100,100,1.34,overcast clouds,2023-01-07 19:40:52
